MeasureItem,MeasureItemCategoryID,MeasureItemID,Category,Country,Year,ProvidedValue,ProvidedValueCode,NumberOfUnits,CreationDate,UpdateDate
Inventory of Generation,9,382,Hydro_50MW_100MW,AL,2023,321,,6,01/03/2024 00:00,01/03/2024 00:00
Inventory of Generation,9,383,Hydro_Over_100MW,AL,2023,1100,,8,01/03/2024 00:00,01/03/2024 00:00
Inventory of Generation,9,376,FF_10MW_200MW,AT,2023,608,,4,01/03/2024 00:00,01/03/2024 00:00
Inventory of Generation,9,377,FF_200MW_400MW,AT,2023,2060,,7,01/03/2024 00:00,01/03/2024 00:00
Inventory of Generation,9,378,FF_over_400MW,AT,2023,1238,,3,01/03/2024 00:00,01/03/2024 00:00
Inventory of Generation,9,383,Hydro_Over_100MW,AT,2023,5495.9,,20,01/03/2024 00:00,01/03/2024 00:00
Inventory of Generation,9,376,FF_10MW_200MW,BA,2023,300,,3,01/03/2024 00:00,01/03/2024 00:00
Inventory of Generation,9,377,FF_200MW_400MW,BA,2023,1684,,7,01/03/2024 00:00,01/03/2024 00:00
Inventory of Generation,9,383,Hydro_Over_100MW,BA,2023,871,,6,01/03/2024 00:00,01/03/2024 00:00
Inventory of Generation,9,395,Biomass_Over_1MW,BE,2023,268,,1,01/03/2024 00:00,01/03/2024 00:00
Inventory of Generation,9,376,FF_10MW_200MW,BE,2023,1971.3,,13,01/03/2024 00:00,01/03/2024 00:00
Inventory of Generation,9,377,FF_200MW_400MW,BE,2023,2025.2,,6,01/03/2024 00:00,01/03/2024 00:00
Inventory of Generation,9,378,FF_over_400MW,BE,2023,835,,2,01/03/2024 00:00,01/03/2024 00:00
Inventory of Generation,9,383,Hydro_Over_100MW,BE,2023,1308,,7,01/03/2024 00:00,01/03/2024 00:00
Inventory of Generation,9,157,Nuclear,BE,2023,4937,,7,01/03/2024 00:00,01/03/2024 00:00
Inventory of Generation,9,389,Wind_Off_Over_1MW,BE,2023,2261.9,,10,01/03/2024 00:00,01/03/2024 00:00
Inventory of Generation,9,376,FF_10MW_200MW,BG,2023,1496,,9,01/03/2024 00:00,01/03/2024 00:00
Inventory of Generation,9,377,FF_200MW_400MW,BG,2023,3132,,13,01/03/2024 00:00,01/03/2024 00:00
Inventory of Generation,9,383,Hydro_Over_100MW,BG,2023,1148,,6,01/03/2024 00:00,01/03/2024 00:00
Inventory of Generation,9,157,Nuclear,BG,2023,2080,,2,01/03/2024 00:00,01/03/2024 00:00
Inventory of Generation,9,383,Hydro_Over_100MW,CH,2023,10356.7,,39,01/03/2024 00:00,01/03/2024 00:00
Inventory of Generation,9,157,Nuclear,CH,2023,2970,,4,01/03/2024 00:00,01/03/2024 00:00
Inventory of Generation,9,376,FF_10MW_200MW,CZ,2023,3467,,20,01/03/2024 00:00,01/03/2024 00:00
Inventory of Generation,9,377,FF_200MW_400MW,CZ,2023,1081,,5,01/03/2024 00:00,01/03/2024 00:00
Inventory of Generation,9,378,FF_over_400MW,CZ,2023,1444,,2,01/03/2024 00:00,01/03/2024 00:00
Inventory of Generation,9,383,Hydro_Over_100MW,CZ,2023,1110,,6,01/03/2024 00:00,01/03/2024 00:00
Inventory of Generation,9,157,Nuclear,CZ,2023,3936,,6,01/03/2024 00:00,01/03/2024 00:00
Inventory of Generation,9,376,FF_10MW_200MW,DE,2023,5312.5,,40,01/03/2024 00:00,01/03/2024 00:00
