MeasureItem	Month	Year	Category	Country	MeasureItemID	CreationDate	Representativity	ProvidedValue	ProvidedValueCode
Monthly Domestic Values	1	2022	Biomass	AT	B01	2023-06-07 14:47:55	100	239.1290000	
Monthly Domestic Values	2	2022	Biomass	AT	B01	2023-06-07 14:47:55	100	216.1170000	
Monthly Domestic Values	3	2022	Biomass	AT	B01	2023-06-07 14:47:55	100	239.0750000	
Monthly Domestic Values	4	2022	Biomass	AT	B01	2023-06-07 14:47:55	100	217.6320000	
Monthly Domestic Values	5	2022	Biomass	AT	B01	2023-06-07 14:47:55	100	219.6160000	
Monthly Domestic Values	6	2022	Biomass	AT	B01	2023-06-07 14:47:55	100	206.3500000	
Monthly Domestic Values	7	2022	Biomass	AT	B01	2023-06-07 14:47:55	100	206.6210000	
Monthly Domestic Values	8	2022	Biomass	AT	B01	2023-06-07 14:47:55	100	206.5690000	
Monthly Domestic Values	9	2022	Biomass	AT	B01	2023-06-07 14:47:55	100	207.8330000	
Monthly Domestic Values	10	2022	Biomass	AT	B01	2023-06-07 14:47:55	100	182.7690000	
Monthly Domestic Values	11	2022	Biomass	AT	B01	2023-06-07 14:47:55	100	176.9580000	
Monthly Domestic Values	12	2022	Biomass	AT	B01	2023-06-07 14:47:55	100	177.9250000	
Monthly Domestic Values	1	2022	Fossil Gas	AT	B04	2023-06-07 14:47:55	100	1578.9145000	
Monthly Domestic Values	2	2022	Fossil Gas	AT	B04	2023-06-07 14:47:55	100	1266.0690000	
Monthly Domestic Values	3	2022	Fossil Gas	AT	B04	2023-06-07 14:47:55	100	1498.5572000	
Monthly Domestic Values	4	2022	Fossil Gas	AT	B04	2023-06-07 14:47:55	100	733.3722000	
Monthly Domestic Values	5	2022	Fossil Gas	AT	B04	2023-06-07 14:47:55	100	564.1547000	
Monthly Domestic Values	6	2022	Fossil Gas	AT	B04	2023-06-07 14:47:55	100	127.5030000	
Monthly Domestic Values	7	2022	Fossil Gas	AT	B04	2023-06-07 14:47:55	100	199.4086000	
Monthly Domestic Values	8	2022	Fossil Gas	AT	B04	2023-06-07 14:47:55	100	189.7624000	
Monthly Domestic Values	9	2022	Fossil Gas	AT	B04	2023-06-07 14:47:55	100	724.0640000	
Monthly Domestic Values	10	2022	Fossil Gas	AT	B04	2023-06-07 14:47:55	100	775.9133000	
Monthly Domestic Values	11	2022	Fossil Gas	AT	B04	2023-06-07 14:47:55	100	1206.2740000	
Monthly Domestic Values	12	2022	Fossil Gas	AT	B04	2023-06-07 14:47:55	100	1284.2616000	
Monthly Domestic Values	1	2022	Fossil Hard coal	AT	B05	2023-06-07 14:47:55	100	0.0000000	
Monthly Domestic Values	2	2022	Fossil Hard coal	AT	B05	2023-06-07 14:47:55	100	0.0000000	
Monthly Domestic Values	3	2022	Fossil Hard coal	AT	B05	2023-06-07 14:47:55	100	0.0000000	
Monthly Domestic Values	4	2022	Fossil Hard coal	AT	B05	2023-06-07 14:47:55	100	0.0000000	
Monthly Domestic Values	5	2022	Fossil Hard coal	AT	B05	2023-06-07 14:47:55	100	0.0000000	
Monthly Domestic Values	6	2022	Fossil Hard coal	AT	B05	2023-06-07 14:47:55	100	0.0000000	
Monthly Domestic Values	7	2022	Fossil Hard coal	AT	B05	2023-06-07 14:47:55	100	0.0000000	
Monthly Domestic Values	8	2022	Fossil Hard coal	AT	B05	2023-06-07 14:47:55	100	0.0000000	
Monthly Domestic Values	9	2022	Fossil Hard coal	AT	B05	2023-06-07 14:47:55	100	0.0000000	
Monthly Domestic Values	10	2022	Fossil Hard coal	AT	B05	2023-06-07 14:47:55	100	0.0000000	
Monthly Domestic Values	11	2022	Fossil Hard coal	AT	B05	2023-06-07 14:47:55	100	0.0000000	
Monthly Domestic Values	12	2022	Fossil Hard coal	AT	B05	2023-06-07 14:47:55	100	0.0000000	
Monthly Domestic Values	1	2022	Fossil Oil	AT	B06	2023-06-07 14:47:55	100	0.0000000	
Monthly Domestic Values	2	2022	Fossil Oil	AT	B06	2023-06-07 14:47:55	100	0.0000000	
Monthly Domestic Values	3	2022	Fossil Oil	AT	B06	2023-06-07 14:47:55	100	0.0000000	
Monthly Domestic Values	4	2022	Fossil Oil	AT	B06	2023-06-07 14:47:55	100	0.0000000	
Monthly Domestic Values	5	2022	Fossil Oil	AT	B06	2023-06-07 14:47:55	100	0.0000000	
Monthly Domestic Values	6	2022	Fossil Oil	AT	B06	2023-06-07 14:47:55	100	0.0000000	
Monthly Domestic Values	7	2022	Fossil Oil	AT	B06	2023-06-07 14:47:55	100	0.0000000	
Monthly Domestic Values	8	2022	Fossil Oil	AT	B06	2023-06-07 14:47:55	100	0.0000000	
Monthly Domestic Values	9	2022	Fossil Oil	AT	B06	2023-06-07 14:47:55	100	0.0000000	
Monthly Domestic Values	10	2022	Fossil Oil	AT	B06	2023-06-07 14:47:55	100	0.0000000	
Monthly Domestic Values	11	2022	Fossil Oil	AT	B06	2023-06-07 14:47:55	100	0.0000000	
Monthly Domestic Values	12	2022	Fossil Oil	AT	B06	2023-06-07 14:47:55	100	0.0000000	
Monthly Domestic Values	1	2022	Geothermal	AT	B09	2023-06-07 14:47:55	100	0.0520800	
Monthly Domestic Values	2	2022	Geothermal	AT	B09	2023-06-07 14:47:55	100	0.0470400	
Monthly Domestic Values	3	2022	Geothermal	AT	B09	2023-06-07 14:47:55	100	0.0520800	
Monthly Domestic Values	4	2022	Geothermal	AT	B09	2023-06-07 14:47:55	100	0.0504000	
Monthly Domestic Values	5	2022	Geothermal	AT	B09	2023-06-07 14:47:55	100	0.0520800	
Monthly Domestic Values	6	2022	Geothermal	AT	B09	2023-06-07 14:47:55	100	0.0504000	
Monthly Domestic Values	7	2022	Geothermal	AT	B09	2023-06-07 14:47:55	100	0.0520800	
Monthly Domestic Values	8	2022	Geothermal	AT	B09	2023-06-07 14:47:55	100	0.0520800	
Monthly Domestic Values	9	2022	Geothermal	AT	B09	2023-06-07 14:47:55	100	0.0504000	
Monthly Domestic Values	10	2022	Geothermal	AT	B09	2023-06-07 14:47:55	100	0.0520800	
Monthly Domestic Values	11	2022	Geothermal	AT	B09	2023-06-07 14:47:55	100	0.0504000	
Monthly Domestic Values	12	2022	Geothermal	AT	B09	2023-06-07 14:47:55	100	0.0520800	
Monthly Domestic Values	1	2022	Hydro Pumped Storage	AT	B10	2023-06-07 14:47:55	100	470.3153000	
Monthly Domestic Values	2	2022	Hydro Pumped Storage	AT	B10	2023-06-07 14:47:55	100	353.7500000	
Monthly Domestic Values	3	2022	Hydro Pumped Storage	AT	B10	2023-06-07 14:47:55	100	533.5654000	
Monthly Domestic Values	4	2022	Hydro Pumped Storage	AT	B10	2023-06-07 14:47:55	100	471.0620000	
Monthly Domestic Values	5	2022	Hydro Pumped Storage	AT	B10	2023-06-07 14:47:55	100	366.5129000	
Monthly Domestic Values	6	2022	Hydro Pumped Storage	AT	B10	2023-06-07 14:47:55	100	478.8135000	
Monthly Domestic Values	7	2022	Hydro Pumped Storage	AT	B10	2023-06-07 14:47:55	100	399.7096000	
Monthly Domestic Values	8	2022	Hydro Pumped Storage	AT	B10	2023-06-07 14:47:55	100	438.8115000	
Monthly Domestic Values	9	2022	Hydro Pumped Storage	AT	B10	2023-06-07 14:47:55	100	460.8471000	
Monthly Domestic Values	10	2022	Hydro Pumped Storage	AT	B10	2023-06-07 14:47:55	100	410.6216000	
Monthly Domestic Values	11	2022	Hydro Pumped Storage	AT	B10	2023-06-07 14:47:55	100	352.8460000	
Monthly Domestic Values	12	2022	Hydro Pumped Storage	AT	B10	2023-06-07 14:47:55	100	415.8483000	
Monthly Domestic Values	1	2022	Hydro Run-of-river and poundage	AT	B11	2023-06-07 14:47:55	100	1760.7038000	
Monthly Domestic Values	2	2022	Hydro Run-of-river and poundage	AT	B11	2023-06-07 14:47:55	100	1569.8786000	
Monthly Domestic Values	3	2022	Hydro Run-of-river and poundage	AT	B11	2023-06-07 14:47:55	100	1524.9155000	
Monthly Domestic Values	4	2022	Hydro Run-of-river and poundage	AT	B11	2023-06-07 14:47:55	100	2116.7972000	
Monthly Domestic Values	5	2022	Hydro Run-of-river and poundage	AT	B11	2023-06-07 14:47:55	100	2959.6090000	
Monthly Domestic Values	6	2022	Hydro Run-of-river and poundage	AT	B11	2023-06-07 14:47:55	100	2767.3583000	
Monthly Domestic Values	7	2022	Hydro Run-of-river and poundage	AT	B11	2023-06-07 14:47:55	100	2196.0734000	
Monthly Domestic Values	8	2022	Hydro Run-of-river and poundage	AT	B11	2023-06-07 14:47:55	100	1831.4188000	
Monthly Domestic Values	9	2022	Hydro Run-of-river and poundage	AT	B11	2023-06-07 14:47:55	100	1982.7367000	
Monthly Domestic Values	10	2022	Hydro Run-of-river and poundage	AT	B11	2023-06-07 14:47:55	100	2110.3616000	
Monthly Domestic Values	11	2022	Hydro Run-of-river and poundage	AT	B11	2023-06-07 14:47:55	100	1638.1309000	
Monthly Domestic Values	12	2022	Hydro Run-of-river and poundage	AT	B11	2023-06-07 14:47:55	100	1640.2531000	
Monthly Domestic Values	1	2022	Hydro Water Reservoir	AT	B12	2023-06-07 14:47:55	100	266.2318000	
Monthly Domestic Values	2	2022	Hydro Water Reservoir	AT	B12	2023-06-07 14:47:55	100	152.7054000	
Monthly Domestic Values	3	2022	Hydro Water Reservoir	AT	B12	2023-06-07 14:47:55	100	216.0559000	
Monthly Domestic Values	4	2022	Hydro Water Reservoir	AT	B12	2023-06-07 14:47:55	100	245.7226000	
Monthly Domestic Values	5	2022	Hydro Water Reservoir	AT	B12	2023-06-07 14:47:55	100	447.2855000	
Monthly Domestic Values	6	2022	Hydro Water Reservoir	AT	B12	2023-06-07 14:47:55	100	543.4890000	
Monthly Domestic Values	7	2022	Hydro Water Reservoir	AT	B12	2023-06-07 14:47:55	100	454.8454000	
Monthly Domestic Values	8	2022	Hydro Water Reservoir	AT	B12	2023-06-07 14:47:55	100	511.7646000	
Monthly Domestic Values	9	2022	Hydro Water Reservoir	AT	B12	2023-06-07 14:47:55	100	352.1829000	
Monthly Domestic Values	10	2022	Hydro Water Reservoir	AT	B12	2023-06-07 14:47:55	100	293.2420000	
Monthly Domestic Values	11	2022	Hydro Water Reservoir	AT	B12	2023-06-07 14:47:55	100	250.2320000	
Monthly Domestic Values	12	2022	Hydro Water Reservoir	AT	B12	2023-06-07 14:47:55	100	207.9422000	
Monthly Domestic Values	1	2022	Other	AT	B20	2023-06-07 14:47:55	100	16.3680000	
Monthly Domestic Values	2	2022	Other	AT	B20	2023-06-07 14:47:55	100	14.7840000	
Monthly Domestic Values	3	2022	Other	AT	B20	2023-06-07 14:47:55	100	16.3680000	
Monthly Domestic Values	4	2022	Other	AT	B20	2023-06-07 14:47:55	100	15.8400000	
Monthly Domestic Values	5	2022	Other	AT	B20	2023-06-07 14:47:55	100	16.3680000	
Monthly Domestic Values	6	2022	Other	AT	B20	2023-06-07 14:47:55	100	15.8400000	
Monthly Domestic Values	7	2022	Other	AT	B20	2023-06-07 14:47:55	100	16.3680000	
Monthly Domestic Values	8	2022	Other	AT	B20	2023-06-07 14:47:55	100	16.3680000	
Monthly Domestic Values	9	2022	Other	AT	B20	2023-06-07 14:47:55	100	15.8400000	
Monthly Domestic Values	10	2022	Other	AT	B20	2023-06-07 14:47:55	100	16.3680000	
Monthly Domestic Values	11	2022	Other	AT	B20	2023-06-07 14:47:55	100	15.8400000	
Monthly Domestic Values	12	2022	Other	AT	B20	2023-06-07 14:47:55	100	16.3680000	
Monthly Domestic Values	1	2022	Other renewable	AT	B15	2023-06-07 14:47:55	100	0.0000000	
Monthly Domestic Values	2	2022	Other renewable	AT	B15	2023-06-07 14:47:55	100	0.0000000	
Monthly Domestic Values	3	2022	Other renewable	AT	B15	2023-06-07 14:47:55	100	0.0000000	
Monthly Domestic Values	4	2022	Other renewable	AT	B15	2023-06-07 14:47:55	100	0.0000000	
Monthly Domestic Values	5	2022	Other renewable	AT	B15	2023-06-07 14:47:55	100	0.0000000	
Monthly Domestic Values	6	2022	Other renewable	AT	B15	2023-06-07 14:47:55	100	0.0000000	
Monthly Domestic Values	7	2022	Other renewable	AT	B15	2023-06-07 14:47:55	100	0.0000000	
Monthly Domestic Values	8	2022	Other renewable	AT	B15	2023-06-07 14:47:55	100	0.0000000	
Monthly Domestic Values	9	2022	Other renewable	AT	B15	2023-06-07 14:47:55	100	0.0000000	
Monthly Domestic Values	10	2022	Other renewable	AT	B15	2023-06-07 14:47:55	100	0.0000000	
Monthly Domestic Values	11	2022	Other renewable	AT	B15	2023-06-07 14:47:55	100	0.0000000	
Monthly Domestic Values	12	2022	Other renewable	AT	B15	2023-06-07 14:47:55	100	0.0000000	
Monthly Domestic Values	1	2022	Solar	AT	B16	2023-06-07 14:47:55	100	25.1720000	
Monthly Domestic Values	2	2022	Solar	AT	B16	2023-06-07 14:47:55	100	46.3180000	
Monthly Domestic Values	3	2022	Solar	AT	B16	2023-06-07 14:47:55	100	87.4380000	
Monthly Domestic Values	4	2022	Solar	AT	B16	2023-06-07 14:47:55	100	88.2630000	
Monthly Domestic Values	5	2022	Solar	AT	B16	2023-06-07 14:47:55	100	123.1490000	
Monthly Domestic Values	6	2022	Solar	AT	B16	2023-06-07 14:47:55	100	117.6170000	
Monthly Domestic Values	7	2022	Solar	AT	B16	2023-06-07 14:47:55	100	140.9120000	
Monthly Domestic Values	8	2022	Solar	AT	B16	2023-06-07 14:47:55	100	122.2590000	
Monthly Domestic Values	9	2022	Solar	AT	B16	2023-06-07 14:47:55	100	100.6490000	
Monthly Domestic Values	10	2022	Solar	AT	B16	2023-06-07 14:47:55	100	69.2520000	
Monthly Domestic Values	11	2022	Solar	AT	B16	2023-06-07 14:47:55	100	33.6070000	
Monthly Domestic Values	12	2022	Solar	AT	B16	2023-06-07 14:47:55	100	20.8050000	
Monthly Domestic Values	1	2022	Waste	AT	B17	2023-06-07 14:47:55	100	74.4000000	
Monthly Domestic Values	2	2022	Waste	AT	B17	2023-06-07 14:47:55	100	67.2000000	
Monthly Domestic Values	3	2022	Waste	AT	B17	2023-06-07 14:47:55	100	74.4000000	
Monthly Domestic Values	4	2022	Waste	AT	B17	2023-06-07 14:47:55	100	72.0000000	
Monthly Domestic Values	5	2022	Waste	AT	B17	2023-06-07 14:47:55	100	74.4000000	
Monthly Domestic Values	6	2022	Waste	AT	B17	2023-06-07 14:47:55	100	72.0000000	
Monthly Domestic Values	7	2022	Waste	AT	B17	2023-06-07 14:47:55	100	74.4000000	
Monthly Domestic Values	8	2022	Waste	AT	B17	2023-06-07 14:47:55	100	74.4000000	
Monthly Domestic Values	9	2022	Waste	AT	B17	2023-06-07 14:47:55	100	72.0000000	
Monthly Domestic Values	10	2022	Waste	AT	B17	2023-06-07 14:47:55	100	74.4000000	
Monthly Domestic Values	11	2022	Waste	AT	B17	2023-06-07 14:47:55	100	72.0000000	
Monthly Domestic Values	12	2022	Waste	AT	B17	2023-06-07 14:47:55	100	74.4000000	
Monthly Domestic Values	1	2022	Wind Onshore	AT	B19	2023-06-07 14:47:55	100	1027.7040000	
Monthly Domestic Values	2	2022	Wind Onshore	AT	B19	2023-06-07 14:47:55	100	1001.7440000	
Monthly Domestic Values	3	2022	Wind Onshore	AT	B19	2023-06-07 14:47:55	100	543.7280000	
Monthly Domestic Values	4	2022	Wind Onshore	AT	B19	2023-06-07 14:47:55	100	741.9490000	
Monthly Domestic Values	5	2022	Wind Onshore	AT	B19	2023-06-07 14:47:55	100	393.2700000	
Monthly Domestic Values	6	2022	Wind Onshore	AT	B19	2023-06-07 14:47:55	100	475.8100000	
Monthly Domestic Values	7	2022	Wind Onshore	AT	B19	2023-06-07 14:47:55	100	512.2990000	
Monthly Domestic Values	8	2022	Wind Onshore	AT	B19	2023-06-07 14:47:55	100	449.5950000	
Monthly Domestic Values	9	2022	Wind Onshore	AT	B19	2023-06-07 14:47:55	100	443.5510000	
Monthly Domestic Values	10	2022	Wind Onshore	AT	B19	2023-06-07 14:47:55	100	465.8470000	
Monthly Domestic Values	11	2022	Wind Onshore	AT	B19	2023-06-07 14:47:55	100	441.0210000	
