MeasureItem,Month,Year,Category,Country,MeasureItemID,CreationDate,Representativity,ProvidedValue,ProvidedValueCode
Monthly Domestic Values,5,2024,Fossil Gas,RO,B04,09/09/2024 16:26,100,318.81075,
Monthly Domestic Values,3,2024,Hydro Water Reservoir,HU,B12,09/09/2024 16:26,100,8.9072375,
Monthly Domestic Values,2,2024,Hydro Run-of-river and poundage,BA,B11,09/09/2024 16:26,100,62.87183,
Monthly Domestic Values,3,2024,Wind Offshore,DE,B18,09/09/2024 16:26,100,2736.73897,
Monthly Domestic Values,3,2024,Fossil Hard coal,HU,B05,09/09/2024 16:26,100,26.5398375,
Monthly Domestic Values,4,2024,Hydro Water Reservoir,BG,B12,09/09/2024 16:26,100,213.17224,
Monthly Domestic Values,4,2024,Hydro Pumped Storage,NO,B10,09/09/2024 16:26,100,160.52513,
Monthly Domestic Values,1,2024,Other,ES,B20,09/09/2024 16:26,100,6.684,
Monthly Domestic Values,6,2024,Solar,NL,B16,09/09/2024 16:26,100,67.408355,
Monthly Domestic Values,4,2024,Wind Onshore,HR,B19,09/09/2024 16:26,100,202.4176,
Monthly Domestic Values,6,2024,Hydro Pumped Storage,IT,B10,09/09/2024 16:26,100,662.144,
Monthly Domestic Values,3,2024,Waste,AT,B17,09/09/2024 16:26,100,74.4,
Monthly Domestic Values,5,2024,Hydro Water Reservoir,HR,B12,09/09/2024 16:26,100,205.2447,
Monthly Domestic Values,4,2024,Solar,RO,B16,09/09/2024 16:26,100,207.47025,
Monthly Domestic Values,2,2024,Hydro Run-of-river and poundage,BE,B11,09/09/2024 16:26,100,26.3938,
Monthly Domestic Values,5,2024,Other renewable,FI,B15,09/09/2024 16:26,100,1.8442675,
Monthly Domestic Values,5,2024,Wind Onshore,SI,B19,09/09/2024 16:26,100,0.39405,
Monthly Domestic Values,5,2024,Fossil Gas,GB,B04,09/09/2024 16:26,100,186.56766,
Monthly Domestic Values,6,2024,Wind Onshore,DE,B19,09/09/2024 16:26,100,5648.526883,
Monthly Domestic Values,1,2024,Solar,PL,B16,09/09/2024 16:26,100,351.09717,
Monthly Domestic Values,4,2024,Solar,AT,B16,09/09/2024 16:26,100,652.609,
Monthly Domestic Values,1,2024,Biomass,PT,B01,09/09/2024 16:26,100,254.7806,
Monthly Domestic Values,4,2024,Wind Onshore,LT,B19,09/09/2024 16:26,100,283.51034,
Monthly Domestic Values,4,2024,Fossil Brown coal/Lignite,MK,B02,09/09/2024 16:26,100,210.76839,
Monthly Domestic Values,4,2024,Hydro Pumped Storage,CH,B10,09/09/2024 16:26,100,705.87902,
Monthly Domestic Values,6,2024,Fossil Oil,PL,B06,09/09/2024 16:26,100,158.4068725,
Monthly Domestic Values,4,2024,Biomass,EE,B01,09/09/2024 16:26,100,31.2445,
Monthly Domestic Values,4,2024,Hydro Water Reservoir,ES,B12,09/09/2024 16:26,100,2794.91,
Monthly Domestic Values,5,2024,Solar,ES,B16,09/09/2024 16:26,100,5622.206,
Monthly Domestic Values,6,2024,Hydro Run-of-river and poundage,LT,B11,09/09/2024 16:26,100,21.43533,
Monthly Domestic Values,5,2024,Hydro Run-of-river and poundage,RO,B11,09/09/2024 16:26,100,829.00775,
Monthly Domestic Values,2,2024,Hydro Run-of-river and poundage,LV,B11,09/09/2024 16:26,100,387.523,
Monthly Domestic Values,1,2024,Hydro Pumped Storage,SK,B10,09/09/2024 16:26,100,53.8569,
Monthly Domestic Values,1,2024,Fossil Hard coal,BG,B05,09/09/2024 16:26,100,40.47474,
Monthly Domestic Values,1,2024,Fossil Hard coal,IT,B05,09/09/2024 16:26,100,365.873,
Monthly Domestic Values,6,2024,Nuclear,RO,B14,09/09/2024 16:26,100,503.954,
Monthly Domestic Values,3,2024,Fossil Gas,AT,B04,09/09/2024 16:26,100,492.9559,
Monthly Domestic Values,3,2024,Solar,FI,B16,09/09/2024 16:26,100,62.36034,
Monthly Domestic Values,2,2024,Hydro Run-of-river and poundage,SI,B11,09/09/2024 16:26,100,359.03058,
Monthly Domestic Values,5,2024,Wind Onshore,CH,B19,09/09/2024 16:26,100,9.79583,
Monthly Domestic Values,1,2024,Fossil Brown coal/Lignite,SI,B02,09/09/2024 16:26,100,325.23864,
Monthly Domestic Values,3,2024,Hydro Pumped Storage,AT,B10,09/09/2024 16:26,100,424.068,
Monthly Domestic Values,1,2024,Hydro Water Reservoir,DE,B12,09/09/2024 16:26,100,153.71675,
Monthly Domestic Values,2,2024,Fossil Gas,NO,B04,09/09/2024 16:26,100,139.30949,
Monthly Domestic Values,1,2024,Solar,EE,B16,09/09/2024 16:26,100,4.4329,
Monthly Domestic Values,6,2024,Fossil Gas,NL,B04,09/09/2024 16:26,100,2067.020363,
Monthly Domestic Values,5,2024,Hydro Water Reservoir,FR,B12,09/09/2024 16:26,100,1450.088,
Monthly Domestic Values,5,2024,Solar,LT,B16,09/09/2024 16:26,100,231.93293,
Monthly Domestic Values,4,2024,Other,BE,B20,09/09/2024 16:26,100,551.10401,
Monthly Domestic Values,6,2024,Hydro Pumped Storage,CZ,B10,09/09/2024 16:26,100,84.40866,
Monthly Domestic Values,4,2024,Wind Offshore,IT,B18,09/09/2024 16:26,100,2.62,
Monthly Domestic Values,5,2024,Other,AT,B20,09/09/2024 16:26,100,16.368,
Monthly Domestic Values,3,2024,Fossil Oil,HR,B06,09/09/2024 16:26,100,2.8907,
Monthly Domestic Values,5,2024,Fossil Gas,HU,B04,09/09/2024 16:26,100,370.583895,
Monthly Domestic Values,1,2024,Fossil Peat,EE,B08,09/09/2024 16:26,100,0,
Monthly Domestic Values,1,2024,Solar,CH,B16,09/09/2024 16:26,100,82.72271,
Monthly Domestic Values,3,2024,Wind Onshore,ES,B19,09/09/2024 16:26,100,5897.208,
Monthly Domestic Values,5,2024,Wind Onshore,BA,B19,09/09/2024 16:26,100,7.50395,
Monthly Domestic Values,6,2024,Wind Onshore,FI,B19,09/09/2024 16:26,100,772.619135,
Monthly Domestic Values,2,2024,Fossil Hard coal,RO,B05,09/09/2024 16:26,100,10.2645,
Monthly Domestic Values,6,2024,Geothermal,ES,B09,09/09/2024 16:26,100,0,
Monthly Domestic Values,2,2024,Hydro Water Reservoir,ME,B12,09/09/2024 16:26,100,192.68035,
Monthly Domestic Values,5,2024,Fossil Oil,SI,B06,09/09/2024 16:26,100,0.01781,
Monthly Domestic Values,6,2024,Hydro Pumped Storage,RS,B10,09/09/2024 16:26,100,0,
Monthly Domestic Values,5,2024,Geothermal,IT,B09,09/09/2024 16:26,100,440.273,
Monthly Domestic Values,4,2024,Other,CZ,B20,09/09/2024 16:26,100,47.7553,
Monthly Domestic Values,5,2024,Other,IT,B20,09/09/2024 16:26,100,1285.33,
Monthly Domestic Values,3,2024,Hydro Run-of-river and poundage,IE,B11,09/09/2024 16:26,100,87.580585,
Monthly Domestic Values,4,2024,Wind Onshore,PL,B19,09/09/2024 16:26,100,2033.22325,
Monthly Domestic Values,5,2024,Biomass,NL,B01,09/09/2024 16:26,100,24.8850125,
Monthly Domestic Values,2,2024,Fossil Hard coal,NL,B05,09/09/2024 16:26,100,1080.777578,
Monthly Domestic Values,3,2024,Fossil Hard coal,PL,B05,09/09/2024 16:26,100,5196.61195,
Monthly Domestic Values,6,2024,Waste,FI,B17,09/09/2024 16:26,100,35.32688,
Monthly Domestic Values,1,2024,Biomass,HU,B01,09/09/2024 16:26,100,85.90461,
Monthly Domestic Values,6,2024,Nuclear,NL,B14,09/09/2024 16:26,100,168.644395,
Monthly Domestic Values,4,2024,Fossil Brown coal/Lignite,ME,B02,09/09/2024 16:26,100,21.0119,
Monthly Domestic Values,6,2024,Fossil Brown coal/Lignite,ES,B02,09/09/2024 16:26,100,0,
Monthly Domestic Values,5,2024,Hydro Run-of-river and poundage,PL,B11,09/09/2024 16:26,100,134.01854,
Monthly Domestic Values,2,2024,Hydro Run-of-river and poundage,RS,B11,09/09/2024 16:26,100,1041.664,
Monthly Domestic Values,4,2024,Wind Onshore,BE,B19,09/09/2024 16:26,100,616.24644,
